

Data Parameters
,charge, 2
,min explained_percent for unmod, 0
,modifications chosen,-17,16,28,43
,MS levels chosen,2
,modified spectra chosen, all ids with best MQScore

LP Parameters
,mass tolerance, 0.40
,bIdx,b,b2,b(iso)
,yIdx,y,y2,y(iso)

Grouping Parameters
,intensity threshold, 5
,bIdx for grouping,b,b2,b(iso)
,yIdx for grouping,y,y2,y(iso)

FDR parameters
,cosine threshold, 0.40
,FDR threshold, 0.01
cosine threshold, 0.40
score threshold, 55

threshold, FDR, k>=1,k=1,k=2,k=3,k=4,k=5
60.000000,0.013847,93.804285,93.804285,0.000000,0.000000,0.000000,0.000000,
55.000000,0.014818,94.672843,94.672843,0.000000,0.000000,0.000000,0.000000,
50.000000,0.017610,95.830921,95.773017,0.057904,0.000000,0.000000,0.000000,
45.000000,0.019647,96.236248,95.946728,0.289519,0.000000,0.000000,0.000000,
40.000000,0.022139,96.757383,96.120440,0.636943,0.000000,0.000000,0.000000,
39.000000,0.022939,96.757383,96.120440,0.636943,0.000000,0.000000,0.000000,
38.000000,0.024496,96.873191,96.178344,0.694847,0.000000,0.000000,0.000000,
37.000000,0.025205,96.931094,95.946728,0.984366,0.000000,0.000000,0.000000,
36.000000,0.026500,96.988998,95.946728,1.042270,0.000000,0.000000,0.000000,
35.000000,0.027527,97.104806,96.062536,1.042270,0.000000,0.000000,0.000000,
34.000000,0.028552,97.220614,96.178344,1.042270,0.000000,0.000000,0.000000,
33.000000,0.030331,97.220614,95.946728,1.273885,0.000000,0.000000,0.000000,
32.000000,0.030823,97.336422,96.062536,1.273885,0.000000,0.000000,0.000000,
31.000000,0.032628,97.394325,96.062536,1.331789,0.000000,0.000000,0.000000,
30.000000,0.032872,97.452229,96.120440,1.331789,0.000000,0.000000,0.000000,
25.000000,0.040192,97.683845,95.830921,1.852924,0.000000,0.000000,0.000000,
20.000000,0.047634,97.741749,95.136074,2.605675,0.000000,0.000000,0.000000,
15.000000,0.063909,98.320787,95.020266,3.300521,0.000000,0.000000,0.000000,
10.000000,0.086190,98.784019,94.788651,3.995368,0.000000,0.000000,0.000000,
5.000000,0.131030,98.841922,93.398958,5.442965,0.000000,0.000000,0.000000,



Trivial,  1218
 ,confirmed Inspect, 1074
 ,no assignment, 28
 ,incorrect assignment, 49
 ,rejected, 67
Non Trivial, 619
 ,confirmed Inspect, 538
 ,,not ambigous, 397
 ,, ambigous, 141
 ,different site, 23
 ,mixture, 0
 ,no assignment, 10
 ,incorrect site, 5
 ,rejected, 43
Total, 1837


filename, light/heavy, #MS1, #MS2, #MS3, #MS2_id, #MS3_id, #unmod_ids, #mod, #unmod_uniq, #mod_uniq
spectra_files\lens\mgf\\93I_cat_01_04.mgf,light,0,1794,0,0,0,0,0,0,0,
spectra_files\lens\mgf\\93I_cat_05_08.mgf,light,0,1450,0,0,0,0,0,0,0,
spectra_files\lens\mgf\\93I_cat_09_12.mgf,light,0,1536,0,72,0,31,41,26,28,
spectra_files\lens\mgf\\93I_cat_13_16.mgf,light,0,1663,0,63,0,34,29,29,27,
spectra_files\lens\mgf\\93I_cat_17_20.mgf,light,0,1689,0,63,0,34,29,28,22,
spectra_files\lens\mgf\\93I_cat_21_24.mgf,light,0,1697,0,67,0,37,30,22,24,
spectra_files\lens\mgf\\93I_cat_25_28.mgf,light,0,1695,0,48,0,41,7,22,7,
spectra_files\lens\mgf\\93I_cat_29.mgf,light,0,1409,0,56,0,54,2,21,2,
spectra_files\lens\mgf\\93I_cat_30.mgf,light,0,1410,0,88,0,81,7,44,5,
spectra_files\lens\mgf\\93I_cat_31.mgf,light,0,1520,0,140,0,124,16,59,11,
spectra_files\lens\mgf\\93I_cat_32.mgf,light,0,1596,0,235,0,192,43,85,18,
spectra_files\lens\mgf\\93I_cat_33.mgf,light,0,1752,0,364,0,306,58,113,28,
spectra_files\lens\mgf\\93I_cat_34.mgf,light,0,1855,0,475,0,398,77,136,34,
spectra_files\lens\mgf\\93I_cat_35.mgf,light,0,1854,0,479,0,390,89,139,41,
spectra_files\lens\mgf\\93I_cat_36.mgf,light,0,1859,0,403,0,344,59,124,31,
spectra_files\lens\mgf\\93I_cat_37.mgf,light,0,1796,0,290,0,258,32,116,23,
spectra_files\lens\mgf\\93I_cat_38.mgf,light,0,1866,0,206,0,186,20,93,12,
spectra_files\lens\mgf\\93I_cat_39.mgf,light,0,1892,0,210,0,198,12,87,8,
spectra_files\lens\mgf\\93I_cat_40.mgf,light,0,1877,0,226,0,196,30,88,18,
spectra_files\lens\mgf\\93I_cat_41.mgf,light,0,1853,0,309,0,281,28,107,13,
spectra_files\lens\mgf\\93I_cat_42.mgf,light,0,1943,0,0,0,0,0,0,0,
spectra_files\lens\mgf\\93I_cat_43.mgf,light,0,1872,0,0,0,0,0,0,0,
spectra_files\lens\mgf\\93I_cat_44.mgf,light,0,1893,0,388,0,350,38,104,18,
spectra_files\lens\mgf\\93I_cat_45.mgf,light,0,1872,0,374,0,330,44,109,18,
spectra_files\lens\mgf\\93I_cat_46.mgf,light,0,1877,0,368,0,326,42,118,17,
spectra_files\lens\mgf\\93I_cat_47.mgf,light,0,1867,0,354,0,313,41,113,20,
spectra_files\lens\mgf\\93I_cat_48.mgf,light,0,1837,0,305,0,271,34,111,21,
