

Data Parameters
,charge, 2
,min explained_percent for unmod, 0
,modifications chosen,-18
,MS levels chosen,3
,modified spectra chosen, all ids with best MQScore

LP Parameters
,mass tolerance, 0.40
,bIdx,b,b2,b(iso)
,yIdx,y,y2,y(iso)

Grouping Parameters
,intensity threshold, 5
,bIdx for grouping,b,b2,b(iso)
,yIdx for grouping,y,y2,y(iso)

FDR parameters
,cosine threshold, 0.40
,FDR threshold, 0.05
cosine threshold, 0.40
score threshold, 60

threshold, FDR, k>=1,k=1,k=2,k=3,k=4,k=5
60.000000,0.052817,90.315415,90.315415,0.000000,0.000000,0.000000,0.000000,
55.000000,0.055569,91.470458,91.470458,0.000000,0.000000,0.000000,0.000000,
50.000000,0.062082,92.536650,92.492226,0.044425,0.000000,0.000000,0.000000,
45.000000,0.063941,93.380720,93.203021,0.177699,0.000000,0.000000,0.000000,
40.000000,0.069963,93.824967,93.203021,0.621946,0.000000,0.000000,0.000000,
39.000000,0.071172,93.824967,93.158596,0.666371,0.000000,0.000000,0.000000,
38.000000,0.073516,93.958241,93.247446,0.710795,0.000000,0.000000,0.000000,
37.000000,0.074650,94.002665,93.203021,0.799645,0.000000,0.000000,0.000000,
36.000000,0.076193,94.091515,93.247446,0.844069,0.000000,0.000000,0.000000,
35.000000,0.077659,94.224789,93.291870,0.932919,0.000000,0.000000,0.000000,
34.000000,0.078334,94.269214,93.203021,1.066193,0.000000,0.000000,0.000000,
33.000000,0.082615,94.358063,93.114171,1.243892,0.000000,0.000000,0.000000,
32.000000,0.084659,94.358063,93.114171,1.243892,0.000000,0.000000,0.000000,
31.000000,0.085767,94.358063,92.980897,1.377166,0.000000,0.000000,0.000000,
30.000000,0.087646,94.402488,92.892048,1.510440,0.000000,0.000000,0.000000,
25.000000,0.107402,94.757885,92.358952,2.354509,0.044425,0.000000,0.000000,
20.000000,0.135374,94.891159,91.426033,3.331853,0.133274,0.000000,0.000000,
15.000000,0.174160,95.379831,90.315415,4.931142,0.133274,0.000000,0.000000,
10.000000,0.231297,95.824078,87.916482,7.507774,0.399822,0.000000,0.000000,
5.000000,0.302689,96.490449,82.985340,12.927588,0.577521,0.000000,0.000000,



Trivial,  350
 ,confirmed Inspect, 290
 ,no assignment, 8
 ,incorrect assignment, 16
 ,rejected, 36
Non Trivial, 2178
 ,confirmed Inspect, 1725
 ,,not ambigous, 1228
 ,, ambigous, 497
 ,different site, 18
 ,mixture, 0
 ,no assignment, 88
 ,incorrect site, 106
 ,rejected, 241
Total, 2528


filename, light/heavy, #MS1, #MS2, #MS3, #MS2_id, #MS3_id, #unmod_ids, #mod, #unmod_uniq, #mod_uniq
spectra_files/claudio_unphospho_final/10pcr_CIP_wt_mec1tel14_080426221801,light,13036,8685,0,1105,0,1047,58,855,51,
spectra_files/claudio_unphospho_final/10pct_CIP_wt_mec1tel1,light,12439,8867,0,1045,0,981,64,806,59,
spectra_files/claudio_unphospho_final/10pct_CIP_wt_mec1tel12,light,12046,8951,0,1068,0,1005,63,809,60,
spectra_files/claudio_unphospho_final/10pct_CIP_wt_mec1tel13,light,14258,8413,0,1179,0,1125,54,910,50,
spectra_files/claudio_unphospho_final/10pct_CIP_wt_mec1tel1dep,light,15766,7835,0,827,0,768,59,664,57,
spectra_files/claudio_unphospho_final/10pct_IMAC_wt_mec1tel1,light,8176,10111,0,878,0,116,762,90,627,
spectra_files/claudio_unphospho_final/10pct_IMAC_wt_mec1tel12,light,8814,9981,0,851,0,128,723,92,629,
spectra_files/claudio_unphospho_final/10pct_IMAC_wt_mec1tel13_080425053734,light,8611,10008,0,857,0,121,736,94,622,
spectra_files/claudio_unphospho_final/10pct_IMAC_wt_mec1tel1dep,light,11041,9042,0,551,0,98,453,77,428,
spectra_files/claudio_unphospho_final/CIP2_60pct_HILIC14,light,2108,9054,0,201,0,181,20,166,14,
spectra_files/claudio_unphospho_final/CIP2_60pct_HILIC15,light,2548,9070,0,300,0,262,38,225,22,
spectra_files/claudio_unphospho_final/CIP2_60pct_HILIC16,light,1994,9148,0,469,0,420,49,338,38,
spectra_files/claudio_unphospho_final/CIP2_60pct_HILIC17,light,1846,9256,0,857,0,780,77,649,62,
spectra_files/claudio_unphospho_final/CIP2_60pct_HILIC18,light,2204,9419,0,1022,0,916,106,763,81,
spectra_files/claudio_unphospho_final/CIP2_60pct_HILIC19,light,2049,9426,0,1088,0,966,122,814,97,
spectra_files/claudio_unphospho_final/CIP2_60pct_HILIC20,light,1687,9617,0,1124,0,997,127,768,87,
spectra_files/claudio_unphospho_final/CIP2_60pct_HILIC21,light,1642,9604,0,1037,0,929,108,691,95,
spectra_files/claudio_unphospho_final/CIP2_60pct_HILIC22,light,2648,9311,0,896,0,812,84,561,68,
spectra_files/claudio_unphospho_final/CIP2_60pct_HILIC23,light,1592,9382,0,899,0,803,96,579,68,
spectra_files/claudio_unphospho_final/CIP2_60pct_HILIC24,light,1622,9729,0,1141,0,1071,70,506,51,
spectra_files/claudio_unphospho_final/CIP2_60pct_HILIC25,light,1799,9285,0,688,0,593,95,432,79,
spectra_files/claudio_unphospho_final/CIP2_60pct_HILIC26,light,2092,9101,0,526,0,477,49,367,42,
spectra_files/claudio_unphospho_final/CIP2_60pct_HILIC27,light,1708,9054,0,390,0,356,34,213,32,
